school_id,school_name,year_school_opened,admission_type,governance,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,school_year
2590,George W. Nebinger School,1925,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
2620,Academy at Palumbo,2006,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
2630,George W. Sharswood School,1906,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
2640,Southwark School,1905,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
2650,Science Leadership Academy,2006,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
2670,Constitution High School,2006,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
2680,The Science Leadership Academy at Beeber,2014,Special Admit,District,0,0,0,0,0,1,0,0,0,1,1,1,1,2018-19
2690,John H. Taggart School,1917,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
2720,Vare-Washington School,1903,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
3040,Excel Middle Years Academy,2017,Alternative,Contracted,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
3190,Crossroads at Hunting Park,2011,Alternative,District,0,0,0,1,1,1,1,0,0,0,0,0,0,2018-19
3210,Ben Franklin High School EOP,2012,Alternative,District,0,0,0,0,0,0,0,0,0,0,1,1,1,2018-19
3240,Liguori Academy-Fortis,2017,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3290,Excel Academy South,2008,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3510,El Centro de Estudiantes (Big Picture),2009,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3540,Ombudsman Northwest,2009,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3810,One Bright Ray - Elmwood Campus,2015,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3820,Camelot Academy East,2016,Alternative,Contracted,0,0,0,0,0,0,0,1,1,1,1,1,1,2018-19
3840,Philadelphia OIC Workforce Academy,2017,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3850,Northeast High School EOP,2016,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
3880,South Philadelphia High School EOP,2008,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
4020,Overbrook High School,1926,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
4030,High School of Engineering and Science,1949,Special Admit,District,0,0,0,0,0,0,0,1,1,1,1,1,1,2018-19
4060,Murrell Dobbins Career and Technical High School,1938,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
4140,Strawberry Mansion High School,1964,Neighborhood,District,0,0,0,0,0,0,0,0,0,0,1,1,1,2018-19
4220,James G. Blaine School,1966,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4240,Lewis C. Cassidy Academics Plus School,1924,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4270,William Dick School,1954,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4280,Samuel Gompers School,1968,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4300,Edward Heston School,1970,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4320,Robert E. Lamberton School,1949,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4350,E. Washington Rhodes School,2013,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4360,Kenderton Elementary School,2016,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4370,Overbrook School,1990,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4380,Thomas M. Peirce School,1908,Neighborhood,District,1,1,1,1,1,1,1,0,0,0,0,0,0,2018-19
4440,Dr. Ethel Allen School,1971,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4460,Tanner G. Duckrey School,1968,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4470,Richard R. Wright School,1970,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
4480,Overbrook Educational Center,1986,Citywide,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4530,Edward Gideon School,1952,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4560,William D. Kelley School,1965,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
4570,General George G. Meade School,1937,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5020,Thomas A. Edison High School,1985,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5050,Philadelphia Military Academy,2005,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5060,Jules E. Mastbaum Area Vocational Technical High School,1929,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5070,Parkway Northwest High School,1960,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5080,Parkway Center City Middle College High School,2005,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5090,Parkway West High School,2004,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5150,William W. Bodine High School,1935,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5160,Penn Treaty High School,2013,Neighborhood,District,0,0,0,0,0,0,1,1,1,1,1,1,1,2018-19
5170,Julia de Burgos School,1903,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5180,Vaux High School: A Big Picture,2017,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,0,0,2018-19
5200,Alexander Adaire School,1957,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5210,Henry A. Brown School,1959,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5230,Russell H. Conwell School,1926,Special Admit,District,0,0,0,0,0,1,1,1,1,0,0,0,0,2018-19
5250,Paul L. Dunbar School,1932,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5260,Lewis Elkin School,1973,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0,2018-19
5300,Horatio B. Hackett School,1969,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5320,John F. Hartranft School,1968,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5330,William H. Hunter School,1909,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5340,James R. Ludlow School,1927,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5350,William McKinley School,1970,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5370,John Moffet School,1973,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5390,Potter-Thomas School,1967,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5400,Richmond School,1929,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5410,Isaac A. Sheppard School,1898,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0,2018-19
5420,John Welsh School,1966,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5430,Alternative Middle Years at James Martin,1985,Citywide,District,0,0,0,0,0,0,1,1,1,0,0,0,0,2018-19
5440,Frances E. Willard School,1907,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0,2018-19
5470,William Cramp School,1969,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5480,General Philip Kearny School,1898,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5490,Cayuga School,1950,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5500,Thurgood Marshall School,1997,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5520,Kensington High School for Creative and Performing Arts,2005,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5530,Philip H. Sheridan School,1899,Neighborhood,District,1,1,1,1,1,0,0,0,0,0,0,0,0,2018-19
5550,Kensington Health Sciences Academy,2001,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5560,Spring Garden School,1928,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5590,John H. Webster School,1968,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
5610,Building 21,2014,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5620,The U School,2014,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5660,The LINC,2014,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
5680,Honorable Luis Munoz-Marin School,1997,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
5700,Kensington High School,2016,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6010,Central High School,1939,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6030,Roxborough High School,1924,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6040,Walter B. Saul High School,1950,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6050,Philadelphia High School for Girls,1956,Special Admit,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6060,Martin Luther King High School,1972,Neighborhood,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6090,A. Philip Randolph Career and Technical High School,2004,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
6200,Anna B. Day School,1952,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6210,Franklin S. Edmonds School,1948,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6220,Eleanor C. Emlen School,1926,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
6230,Fitler Academics Plus School,1898,Citywide,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6250,Charles W. Henry School,1908,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
6260,Henry H. Houston School,1927,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
